GPU Utilization Monitor - Press Ctrl+C to stop
============================================================
Time     GPU%   Mem Used   Mem Total  Temp   Power   
   538.9   10.0       1360       8192   46.0     72.6
   540.4   12.0       1360       8192   47.0     72.7
   541.9   10.0       1358       8192   47.0     74.0
   543.4   11.0       1365       8192   47.0     73.3
   545.0   10.0       1367       8192   47.0     74.3
   546.4    5.0       1365       8192   46.0     72.9
   547.9   12.0       1368       8192   47.0     74.0
   549.3   14.0       1370       8192   47.0     74.2
   551.4    9.0       1343       8192   46.0     73.6
   554.7    4.0       1357       8192   46.0     70.4
   556.2    3.0       1317       8192   46.0     72.2
   557.8    8.0       1350       8192   46.0     71.1
   559.3    8.0       1352       8192   46.0     71.9
   561.3    4.0       1342       8192   46.0     71.2
   562.8    8.0       1342       8192   46.0     73.7
   564.1    8.0       1300       8192   47.0     73.1
   567.3    0.0       1300       8192   46.0     68.1
   568.7   12.0       1310       8192   46.0     73.3
   570.2   10.0       1353       8192   46.0     70.4
   572.4    5.0       1311       8192   46.0     70.8
   573.8   12.0       1346       8192   46.0     72.9
   575.2    9.0       1344       8192   46.0     71.0
   576.6    9.0       1343       8192   46.0     73.1
   578.0   14.0       1345       8192   46.0     72.1
   579.4    9.0       1336       8192   46.0     73.4
   580.8   11.0       1288       8192   46.0     72.4
   582.2   10.0       1327       8192   46.0     72.6
   583.6    9.0       1325       8192   46.0     71.5
   585.0    8.0       1323       8192   46.0     73.3
   586.4    7.0       1323       8192   46.0     71.9
   587.9    5.0       1325       8192   46.0     72.5
   589.2   13.0       1323       8192   46.0     73.0
   590.5    8.0       1285       8192   46.0     73.1
   591.9   12.0       1281       8192   46.0     73.2
   593.3   13.0       1281       8192   46.0     73.3
   594.6   10.0       1283       8192   46.0     72.8
   596.0    9.0       1323       8192   46.0     72.2
   597.4    9.0       1323       8192   46.0     71.1
   598.9   12.0       1325       8192   46.0     72.0
   600.2   10.0       1325       8192   46.0     71.8
   601.5    7.0       1323       8192   46.0     72.2
   602.9   11.0       1323       8192   46.0     70.3
   605.1    3.0        776       8192   46.0     68.3
   607.3    4.0        815       8192   46.0     68.7
   609.2    2.0        818       8192   46.0     68.7
   611.0    1.0        818       8192   46.0     68.6
   612.9    2.0        818       8192   46.0     68.6
   614.7    1.0        819       8192   46.0     68.2
   616.5    2.0        818       8192   46.0     68.3
   618.4    3.0        814       8192   46.0     68.6
   620.2    1.0        814       8192   46.0     68.5
   622.1    1.0        817       8192   46.0     68.5
   624.2    5.0        817       8192   45.0     68.7
   626.2    0.0        817       8192   45.0     68.5
   628.0    1.0        817       8192   45.0     68.6
   630.0    4.0        814       8192   45.0     68.6
   631.9    5.0        814       8192   45.0     68.5
   633.7    0.0        819       8192   45.0     68.7
   635.5   11.0        819       8192   46.0     70.0
   637.3    3.0        818       8192   45.0     68.7
   639.0    2.0        818       8192   45.0     68.6
   640.8    2.0        818       8192   45.0     68.6
   642.6    5.0        818       8192   45.0     68.6
   644.4    2.0        818       8192   45.0     68.5
   646.2    2.0        818       8192   45.0     68.6
   648.0    5.0        818       8192   45.0     68.7
   649.8    3.0        818       8192   45.0     68.3
   651.5    2.0        818       8192   45.0     68.5
   653.3    2.0        818       8192   45.0     68.0
   655.1    3.0        818       8192   45.0     68.3
   656.9    2.0        818       8192   45.0     68.2
   658.8    3.0        818       8192   45.0     68.2
   660.5    1.0        818       8192   45.0     68.3
   662.4    0.0        818       8192   45.0     67.8
   664.3    1.0        818       8192   45.0     68.2
   666.1    2.0        818       8192   45.0     68.2
   667.8    3.0        818       8192   45.0     68.1
   669.6    1.0        818       8192   45.0     68.2
   672.6    2.0        819       8192   45.0     68.0
   674.5    3.0        819       8192   45.0     68.0
   676.3    3.0        819       8192   45.0     68.3
   678.8    1.0        819       8192   45.0     68.1
   680.6    2.0        819       8192   44.0     68.0
   683.0    0.0        819       8192   44.0     68.4
   684.8    2.0        819       8192   44.0     68.4
   686.6    2.0        819       8192   44.0     68.4
   688.4    3.0        819       8192   44.0     68.5
   690.2    4.0        819       8192   44.0     68.5
   692.1    4.0        819       8192   44.0     68.5
   693.8    2.0        819       8192   44.0     68.5
   695.6    1.0        819       8192   44.0     68.3
   697.3    3.0        819       8192   44.0     68.2
   699.1    3.0        819       8192   44.0     68.3
   700.8    1.0        819       8192   44.0     68.1
   702.6    3.0        819       8192   44.0     68.0
   704.4    2.0        819       8192   44.0     68.3
   706.2    4.0        831       8192   44.0     68.3
   708.0    1.0        831       8192   44.0     68.0
   709.8    3.0        827       8192   44.0     68.1
   711.5    1.0        827       8192   44.0     68.0
   713.4    2.0        837       8192   44.0     68.3
   715.2    2.0        839       8192   44.0     68.1
   717.0    4.0        833       8192   44.0     68.3
   718.8    2.0        831       8192   44.0     67.5
   720.6    1.0        832       8192   44.0     67.7
   722.4    1.0        829       8192   44.0     67.5
   724.1    2.0        823       8192   44.0     67.8
   725.9    2.0        823       8192   44.0     68.0
   727.6    1.0        823       8192   44.0     67.6
   729.5    5.0        822       8192   44.0     67.8
   731.2    1.0        822       8192   44.0     67.7
   733.0    1.0        822       8192   44.0     67.7
   734.7    1.0        822       8192   44.0     67.9
   736.5    1.0        821       8192   44.0     68.0
   738.2    1.0        821       8192   44.0     67.7
   740.0    1.0        821       8192   44.0     67.9
   741.7    1.0        821       8192   44.0     67.7
   743.5    1.0        821       8192   44.0     68.0
   745.3    2.0        821       8192   44.0     67.8
   747.2    1.0        821       8192   44.0     67.8
   749.0    4.0        821       8192   44.0     67.7
   750.7    0.0        821       8192   43.0     67.6
   752.6    2.0        819       8192   43.0     67.7
   754.4    2.0        822       8192   43.0     67.5
   756.3    5.0        823       8192   43.0     67.7
   758.1    0.0        823       8192   43.0     67.5
   759.9    0.0        823       8192   43.0     67.5
   761.7    2.0        823       8192   43.0     67.5
   763.6    0.0        848       8192   43.0     67.8
   765.4    1.0        848       8192   43.0     67.1
   767.2    1.0        845       8192   43.0     67.4
   769.1    5.0        844       8192   43.0     67.8
   770.9    0.0        839       8192   43.0     67.5
   772.7    0.0        839       8192   43.0     67.7
   774.5    0.0        841       8192   43.0     67.6
   776.4    0.0        876       8192   43.0     67.8
   778.2    2.0        879       8192   43.0     67.6
   780.0    0.0        879       8192   43.0     67.3
   781.8    0.0        879       8192   43.0     67.3
   783.6    0.0        879       8192   43.0     67.5
   785.4    0.0        879       8192   43.0     67.5
   787.2    1.0        879       8192   43.0     67.4
   789.0    0.0        879       8192   43.0     67.4
   790.8    0.0        879       8192   43.0     67.6
   792.5    1.0        879       8192   43.0     67.8
   794.3    2.0        879       8192   43.0     67.8
   796.0    2.0        879       8192   43.0     67.8
   797.8    2.0        879       8192   43.0     67.6
   799.5    2.0        879       8192   43.0     67.6
   801.4    0.0        879       8192   43.0     67.5
   803.2    2.0        879       8192   43.0     67.6
